id,SFR__Msol_per_yr,SFR_err,Mstar__Msol,Mstar_err,Lbolo__Lsol,Lbolo_err,Lold_unatt__Lsol,Lold_unatt_err,Lyoung_unatt__Lsol,Lyoung_unatt_err,Lold_abs__Lsol,Lold_abs_err,Lyoung_abs__Lsol,Lyoung_abs_err,Afuv,Afuv_err,Av_b90,Av_b90_err,Mdust__Msol,Mdust_err,Ldust__Lsol,Ldust_err,Umin,Umin_err,Tdust__K,Tdust_err,qhac,qhac_err,gamma,gamma_err,red_chi2,t
ESO097-013,21.05,10.07,19690000000,10070000000,163700000000,58460000000,80990000000,19120000000,82730000000,39560000000,3486000000,0,9805000000,0,0.244,0.386,0.052,0.078,6896000,1484000,13290000000,1048000000,5.325,1.479,24.43,1.172,0.023,0.011,0.076,0.035,1.305,3.3
ESO116-012,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.8
ESO149-001,0.3647,0.04528,3841000000,901400000,9581000000,479000000,8147000000,454100000,1433000000,177900000,384600000,0,449700000,0,0.308,0.052,0.054,0.014,1432000,401000,834300000,104200000,3.15,1.045,22.31,1.278,0.021,0.005,0.002,0.002,1.446,8
ESO149-013,0.006694,0.01815,315400000,156500000,247100000,119900000,220800000,61990000,26310000,71320000,3633000,0,1289000,0,0.222,0.577,0.053,0.154,29770,82060,4922000,5912000,13.95,22.61,28.85,8.079,0.195,0.119,0.08,0.14,0.258,9.9
ESO157-047,0.04214,0.01084,458700000,189200000,812900000,40640000,647300000,73970000,165600000,42610000,32300000,0,45650000,0,0.295,0.11,0.059,0.027,120300,204300,77940000,26220000,16.31,20.09,29.64,6.304,0.036,0.039,0.004,0.022,0.539,0
ESO157-049,0.5265,0.1026,4514000000,1480000000,7738000000,386900000,5669000000,410800000,2069000000,403400000,2690000000,0,1951000000,0,3.485,0.187,1.041,0.11,5219000,4144000,4641000000,348300000,6.154,4.05,25.05,2.847,0.062,0.01,0.005,0.003,0.372,5.3
ESO209-009,0.4673,0.6426,13610000000,5210000000,17930000000,3363000000,16090000000,1645000000,1836000000,2526000000,8422000000,0,1538000000,0,5.334,2.114,1.619,0.628,14520000,2247000,9960000000,514000000,3.296,0.514,22.49,0.605,0.094,0.016,0.001,0.001,0.369,6.1
ESO240-004,0.04661,0.008517,258800000,117800000,604100000,53630000,420900000,79990000,183200000,33470000,18620000,0,39970000,0,0.227,0.109,0.047,0.027,921300,741900,58580000,27420000,2.175,8.945,20.93,14.86,0.124,0.094,0.028,0.07,0.123,6.7
ESO289-020,0.01614,0.002771,53690000,39180000,164600000,30190000,101200000,31420000,63450000,10890000,7269000,0,18520000,0,0.314,0.187,0.071,0.05,168000,191100,25790000,16500000,5.239,12.58,24.36,10.1,0.11,0.096,0.016,0.055,0.503,4.6
ESO351-030,2.672E-09,4.26E-09,521.2,332.3,302.1,92.21,291.6,98.4,10.5,16.74,58.83,0,8.906,0,2.371,1.918,0.615,0.539,0.2681,0.6737,67.74,39.49,17.14,23.74,29.89,7.151,0.226,0.11,0.052,0.114,0.637,-4.8
ESO358-006,0.01743,0.003154,343700000,166000000,364300000,54520000,295700000,62210000,68520000,12400000,13420000,0,19790000,0,0.309,0.156,0.064,0.039,56030,126600,33210000,17350000,18.65,24.87,30.33,6.986,0.244,0.109,0.136,0.171,23.52,-3.8
ESO358-015,0.01965,0.004291,244600000,90480000,383200000,24010000,306000000,38480000,77250000,16870000,4614000,0,7532000,0,0.09,0.074,0.018,0.016,43990,92060,12150000,9986000,14,21.84,28.87,7.778,0.183,0.117,0.058,0.12,0.517,8.7
ESO358-016,0.02165,0.006792,270900000,131000000,420300000,73820000,335200000,81140000,85110000,26690000,40240000,0,48980000,0,0.776,0.274,0.164,0.075,769900,737100,89220000,37180000,3.07,9.182,22.21,11.48,0.127,0.088,0.019,0.053,0.198,7.1
ESO358-019,0.007094,0.009881,230000000,130600000,266700000,34020000,238800000,56870000,27880000,38840000,42710000,0,23780000,0,1.458,1.055,0.349,0.271,106500,189200,66480000,56170000,15.04,23.34,29.23,7.833,0.22,0.114,0.161,0.181,0.825,-3
ESO358-042,0.0003259,0.0003658,1007000000,244100000,465900000,23290000,464600000,23230000,1281000,1438000,3371000,0,149100,0,0.073,0.105,0.016,0.022,12400,36210,3520000,4670000,16.04,23.8,29.55,7.573,0.195,0.119,0.079,0.14,2.135,-2.2
ESO358-043,0.005388,0.004664,2220000000,494300000,1305000000,65240000,1284000000,64180000,21180000,18330000,70980000,0,10320000,0,0.542,0.254,0.112,0.045,1292000,826100,81310000,31010000,0.664,2.417,17.05,10.72,0.07,0.059,0.006,0.017,0.482,-3
ESO358-050,0.009717,0.005013,5512000000,828600000,3822000000,191100000,3784000000,189200000,38190000,19700000,32240000,0,4143000,0,0.075,0.055,0.016,0.011,303600,441800,36380000,25120000,8.596,17.99,26.54,9.589,0.135,0.107,0.037,0.094,0.939,-2.1
ESO358-051,0.07725,0.01292,654100000,240700000,1374000000,68700000,1070000000,99070000,303600000,50770000,172900000,0,211300000,0,1.075,0.115,0.217,0.044,459200,90040,384200000,27140000,4.103,1.15,23.35,1.131,0.07,0.018,0.004,0.003,0.288,0.3
ESO358-054,0.1049,0.01063,688700000,234000000,1450000000,72500000,1038000000,87900000,412300000,41780000,67890000,0,131500000,0,0.355,0.063,0.073,0.024,1143000,511000,199400000,33310000,1.011,0.487,18.34,1.525,0.028,0.017,0.004,0.005,0.612,7.9
